IsRecentlyVerified,DateLastVerified,ID,UUID,DataProviderID,OperatorID,UsageTypeID,NumberOfPoints,StatusTypeID,DateLastStatusUpdate,DataQualityLevel,DateCreated,SubmissionStatusTypeID,AddressInfo.ID,AddressInfo.Title,AddressInfo.AddressLine1,AddressInfo.Town,AddressInfo.Postcode,AddressInfo.CountryID,AddressInfo.Latitude,AddressInfo.Longitude,AddressInfo.DistanceUnit,UsageCost,ConnectionID,ConnectionTypeID,LevelID,Amps,Voltage,PowerKW,CurrentTypeID,Quantity
True,2023-10-09 02:47:00,278546,2C8BA0B2-215D-4562-958E-16EADBA8246A,1,103.0,4.0,2.0,50,2023-10-09 02:47:00,1,2023-10-01 08:01:00,200,278933,Emmerhoutstraat,Emmerhoutstraat 1,Emmen,7814 XV,159,52.816950648536505,6.918983149911014,0,0.00 jaarabonnement,481502.0,25.0,2.0,16.0,400.0,11.0,20.0,2.0
True,2023-09-06 03:31:00,274104,E2271DB6-74AC-497D-970E-C08AD6436D3C,1,3387.0,1.0,1.0,50,2023-09-06 03:31:00,1,2023-09-01 10:38:00,200,274488,Boerderijwinkel Lagerweij,Rijksstraatweg 61c,Buurmalsen,4197 RL,159,51.91593988845722,5.276771337816967,0,"€0,47/kWh",474879.0,33.0,3.0,90.0,400.0,60.0,30.0,1.0
True,2023-09-06 03:31:00,273936,478EBD74-9B6B-4901-A53E-DE2FB4151842,1,103.0,1.0,4.0,50,2023-09-06 03:31:00,1,2023-08-25 11:05:00,200,274320,Van der Valk Larserplein Lelystad,Larserplein 1,Lelystad, 8226 PB,159,52.48266239886473,5.504657788635541,0,0.00 jaarabonnement,474189.0,33.0,3.0,16.0,400.0,150.0,30.0,4.0
True,2023-09-06 03:31:00,273927,E0081CC8-8023-4E25-AE12-A52E2D488AC0,1,3632.0,1.0,4.0,50,2023-09-06 03:31:00,1,2023-08-25 08:40:00,200,274311,KFC Larserplein Lelystad,Larserplein 20,Lelystad,8226 PB,159,52.48275573026649,5.505836542592618,0,0.00 jaarabonnement,474177.0,33.0,3.0,16.0,400.0,88.0,30.0,2.0
True,2023-04-26 10:04:00,260616,C26B4CFA-2E37-428E-A744-59F4B824E1E4,1,3504.0,1.0,4.0,50,2023-04-26 10:04:00,1,2023-04-26 09:51:00,200,261000,LEAP24 Fastcharging station,Kleveringweg 9A,Delft,2616 LZ,159,52.02587329680358,4.363657738411348,0,0.59 per kWH,438684.0,33.0,3.0,273.0,440.0,120.0,30.0,4.0
True,2023-04-26 10:05:00,260615,A5C3ECBB-5580-426B-B7EA-F937E29DC407,1,3504.0,1.0,6.0,50,2023-04-26 10:05:00,1,2023-04-26 09:48:00,200,260999,LEAP24 Fast Charging Station,Graham Bellstraat 43,Zwolle,8013 PL,159,52.48467601267876,6.131613538762423,0,0.59 per kwh,438683.0,33.0,3.0,167.0,900.0,160.0,30.0,6.0
True,2023-04-26 10:05:00,260614,97CC7F48-4C1E-4B2C-8F64-674E28AC0FC9,1,3504.0,1.0,6.0,50,2023-04-26 10:05:00,1,2023-04-26 09:41:00,200,260998,Eeser Veld,Eeser Veld,Steenwijk,8347 JD,159,52.804779000051155,6.133885326612699,0,0.59 ct per kwh,438682.0,33.0,3.0,250.0,400.0,160.0,30.0,6.0
True,2023-04-22 18:47:00,260350,C0980657-1FE9-41D6-BE51-1C3108A1CFE8,1,1.0,4.0,1.0,50,2023-04-22 18:47:00,1,2023-04-21 13:57:00,200,260734,Berliozstraat,Berliozstraat,Capelle aan den IJssel,2901 GA,159,51.91689902158163,4.56201683552149,0,0.00 jaarabonnement,437969.0,25.0,2.0,16.0,400.0,11.0,10.0,2.0
True,2023-04-22 18:47:00,260348,D2769DA9-7D64-4719-8460-BDDC6272D6CB,1,1.0,4.0,1.0,50,2023-04-22 18:47:00,1,2023-04-21 13:49:00,200,260732,Puccinistraat,Puccinistraat,Capelle aan den IJssel,2901 GL,159,51.91759733356153,4.56515469493084,0,0.00 jaarabonnement,437965.0,25.0,2.0,16.0,400.0,11.0,10.0,2.0
True,2023-04-21 08:52:00,260327,432BB27C-C647-46E1-8AB5-5800CA889A84,1,3387.0,4.0,2.0,50,2023-04-21 08:52:00,1,2023-04-20 21:19:00,200,260711,Castellum,Rossinistraat 112,Capelle aan den Ijssel,2901GJ,159,51.9168755697022,4.565175905029946,0,0.00 jaarabonnement,437916.0,25.0,2.0,16.0,400.0,11.0,20.0,2.0
